Name,Type1,Type2,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,FireRed,LeafGreen,Emerald,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus,Scarlet,Violet
Lanturn,Water,Electric,,,,"Route 26, 27, New Bark Town, Olivine City, Pallet Town, Union Cave, Vermilion City","Route 26, 27, New Bark Town, Olivine City, Pallet Town, Union Cave, Vermilion City","Route 26, 27, New Bark Town, Olivine City, Pallet Town, Vermilion City",Evolve Chinchou,Evolve Chinchou,Trade/migrate from another game,Trade/migrate from another game,Evolve Chinchou,Route 220,Route 220,Evolve Chinchou,"Route 20, 21, 26, 27, 41, 47, Cinnabar Island, New Bark Town, Pallet Town, Vermilion City","Route 20, 21, 26, 27, 41, 47, Cinnabar Island, New Bark Town, Pallet Town, Vermilion City",Driftveil City,Driftveil City,Undella Bay,Undella Bay,"Shalour City, Azure Bay","Shalour City, Azure Bay","Route 107, 124, 126, 128, 129, 130","Route 107, 124, 126, 128, 129, 130",Evolve Chinchou,Evolve Chinchou,"Route 8, Akala Outskirts","Route 8, Akala Outskirts",Not available in this game,Not available in this game,"Bridge Field, Dusty Bowl, Lake of Outrage, Honeycalm Island, Honeycalm Sea, Insular Sea, Stepping-Stone Sea, Workout Sea","Bridge Field, Dusty Bowl, Lake of Outrage, Honeycalm Island, Honeycalm Sea, Insular Sea, Stepping-Stone Sea, Workout Sea","Route 220, Fountainspring Cave, Icy Cave, Glacial Cavern","Route 220, Fountainspring Cave, Icy Cave, Glacial Cavern",Not available in this game,Not available in this game,Not available in this game
Pichu,Electric,None,,,,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Route 34,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Trophy Garden,Trophy Garden,Trophy Garden,Ilex Forest,Ilex Forest,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,Breed Pikachu/Raichu,"Route 1, Hau'oli City","Route 1, Hau'oli City",Route 1,Route 1,Not available in this game,Not available in this game,Breed Pikachu/Pikachu (Partner Pikachu)/Raichu/Alolan Raichu,Breed Pikachu/Pikachu (Partner Pikachu)/Raichu/Alolan Raichu,Trophy Garden,Trophy Garden,"Nature’s Pantry, Floaro Gardens, Golden Lowlands","Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area One), East Province (Area Two), South Province (Area One), South Province (Area Two), South Province (Area Four), West Province (Area Three)","Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area One), East Province (Area Two), South Province (Area One), South Province (Area Two), South Province (Area Four), West Province (Area Three)"
Cleffa,Fairy,None,,,,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Route 34,Trade/migrate from another game,Trade/migrate from another game,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Trade/migrate from another game,"Mt. Coronet, Trophy Garden","Mt. Coronet, Trophy Garden","Mt. Coronet, Trophy Garden",Breed Clefairy/Clefable,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Trade/migrate from another game,Trade/migrate from another game,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Mount Hokulani,Mount Hokulani,Mount Hokulani,Mount Hokulani,Not available in this game,Not available in this game,Breed Clefairy/Clefable,Breed Clefairy/Clefable,Mt. Coronet,Mt. Coronet,Fabled Spring,Not available in this game,Not available in this game
Igglybuff,Normal,Fairy,,,,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Route 34,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Trophy Garden,Trophy Garden,Trophy Garden,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,"Route 4, 6","Route 4, 6","Route 4, 6","Route 4, 6",Not available in this game,Not available in this game,Breed Jigglypuff/Wigglytuff,Breed Jigglypuff/Wigglytuff,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,"East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Three), South Province (Area Six), West Province (Area Two), West Province (Area Three), Glaseado Mountain, The Pokémon League","East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Three), South Province (Area Six), West Province (Area Two), West Province (Area Three), Glaseado Mountain, The Pokémon League"
Togepi,Fairy,None,,,,Violet City,Violet City,Violet City,Trade/migrate from another game,Trade/migrate from another game,Water Labyrinth,Water Labyrinth,Trade/migrate from another game,Route 230,Route 230,"Route 230, Eterna City",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,White Forest,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Breed Togetic/Togekiss,Breed Togetic/Togekiss,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Bridge Field,Bridge Field,"Route 230, Fountainspring Cave, Dazzling Cave, Stargleam Cavern","Route 230, Fountainspring Cave, Dazzling Cave, Stargleam Cavern","Bathers' Lagoon, Cottonsedge Prairie, Tranquility Cove",Not available in this game,Not available in this game
Togetic,Fairy,Flying,,,,Evolve Togepi,Evolve Togepi,Evolve Togepi,Trade/migrate from another game,Trade/migrate from another game,Evolve Togepi,Evolve Togepi,Trade/migrate from another game,Evolve Togepi,Evolve Togepi,Evolve Togepi,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Togepi,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Togepi,Evolve Togepi,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Stony Wilderness,Stony Wilderness,Evolve Togepi,Evolve Togepi,"Bolderoll Slope, Cottonsedge Prairie, Tranquility Cove",Not available in this game,Not available in this game
Natu,Psychic,Flying,,,,Ruins of Alph,Ruins of Alph,Ruins of Alph,Safari Zone,Safari Zone,Ruin Valley,Ruin Valley,Safari Zone,Route 224,Route 224,Route 224,"Route 28, Mt. Silver, Ruins of Alph","Route 28, Mt. Silver, Ruins of Alph",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Breed Xatu,Breed Xatu,Trade/migrate from another game,Trade/migrate from another game,"Akala Outskirts, Poké Pelago","Akala Outskirts, Poké Pelago",Not available in this game,Not available in this game,"Rolling Fields, South Lake Miloch, West Lake Axewell, Giant's Mirror, Giant's Seat, North Lake Miloch","Rolling Fields, South Lake Miloch, West Lake Axewell, Giant's Mirror, Giant's Seat, North Lake Miloch","Route 224, Spacious Cave, Dazzling Cave, Stargleam Cavern","Route 224, Spacious Cave, Dazzling Cave, Stargleam Cavern",Not available in this game,Not available in this game,Not available in this game
Xatu,Psychic,Flying,,,,Evolve Natu,Evolve Natu,Pewter City,Safari Zone,Safari Zone,Evolve Natu,Evolve Natu,Safari Zone,Evolve Natu,Evolve Natu,Evolve Natu,Pewter City,Pewter City,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Safari Zone, Mirage Spots","Safari Zone, Mirage Spots",Trade/migrate from another game,Trade/migrate from another game,Akala Outskirts,Akala Outskirts,Not available in this game,Not available in this game,Giant's Seat,Giant's Seat,Evolve Natu,Evolve Natu,Not available in this game,Not available in this game,Not available in this game
Mareep,Electric,None,,,,"Route 32, 42, 43","Route 32, 42, 43",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Altering Cave, Safari Zone",Valley Windworks,Valley Windworks,Valley Windworks,"Route 32, 42, 43","Route 32, 42, 43",Trade/migrate from another game,White Forest,Floccesy Ranch,Floccesy Ranch,Route 12,Route 12,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Paniola Ranch,Paniola Ranch,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Valley Windworks, Grassland Cave, Whiteout Cave, Sunlit Cavern","Valley Windworks, Grassland Cave, Whiteout Cave, Sunlit Cavern",Not available in this game,"North Province (Area One), East Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain","North Province (Area One), East Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain"
Flaaffy,Electric,None,,,,"Route 42, 43","Route 42, 43",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Mareep,Route 222,Route 222,Route 222,"Route 42, 43","Route 42, 43",Trade/migrate from another game,Evolve Mareep,Evolve Mareep,Evolve Mareep,Evolve Mareep,Evolve Mareep,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Poké Pelago,Poké Pelago,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 222, Grassland Cave, Whiteout Cave, Sunlit Cavern","Route 222, Grassland Cave, Whiteout Cave, Sunlit Cavern",Not available in this game,"South Province (Area Six), West Province (Area Two)","South Province (Area Six), West Province (Area Two)"
Ampharos,Electric,None,,,,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Trade/migrate from another game,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Evolve Mareep/Flaaffy,Evolve Mareep/Flaaffy,Not available in this game,"North Province (Area One), East Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain","North Province (Area One), East Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain"
Bellossom,Grass,None,,,,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Trade/migrate from another game,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Trade/migrate from another game,Evolve Oddish/Gloom,Trade/migrate from another game,Trade/migrate from another game,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Evolve Oddish/Gloom,Not available in this game,Not available in this game,Not available in this game
Marill,Water,Fairy,,,,Mt. Mortar,Mt. Mortar,"Route 30, 42, Mt. Mortar","Route 102, 111, 114, 117, 120, Petalburg City","Route 102, 111, 114, 117, 120, Petalburg City",Icefall Cave,"Four Island, Icefall Cave, Ruin Valley","Route 102, 104, 111, 112, 114, 117, 120, Petalburg City, Safari Zone","Great Marsh, Trophy Garden","Great Marsh, Trophy Garden","Route 212, 215, Trophy Garden",Mt. Mortar,Mt. Mortar,Trade/migrate from another game,Evolve Azurill,"Route 6, 11, 20, 22, Abundant Shrine, Victory Road, Village Bridge, Pinwheel Forest, Floccesy Ranch, Relic Passage","Route 6, 11, 20, 22, Abundant Shrine, Victory Road, Village Bridge, Pinwheel Forest, Floccesy Ranch, Relic Passage",Route 3,Route 3,"Route 102, 111, 114, 117, 120, 123, Petalburg City","Route 102, 111, 114, 117, 120, 123, Petalburg City",Brooklet Hill,Brooklet Hill,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Evolve Azurill,Evolve Azurill,Great Marsh,Great Marsh,Not available in this game,"Tagtree Thicket, Asado Desert, Casseroya Lake, North Province (Area One), North Province (Area Two), North Province (Area Three), East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Two), West Province (Area Three), Glaseado Mountain, South Paldean Sea","Tagtree Thicket, Asado Desert, Casseroya Lake, North Province (Area One), North Province (Area Two), North Province (Area Three), East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Two), West Province (Area Three), Glaseado Mountain, South Paldean Sea"
Azumarill,Water,Fairy,,,,Evolve Marill,Evolve Marill,Evolve Marill,Evolve Marill/Azurill,Evolve Marill/Azurill,Evolve Marill/Azurill,Evolve Marill/Azurill,Evolve Marill/Azurill,Evolve Marill/Azurill,Evolve Marill/Azurill,Victory Road,Evolve Marill/Azurill,Evolve Marill/Azurill,Trade/migrate from another game,Evolve Marill/Azurill,"Route 6, 11, 20, 22, Abundant Shrine, Victory Road, Village Bridge, Pinwheel Forest, Floccesy Ranch, Relic Passage","Route 6, 11, 20, 22, Abundant Shrine, Victory Road, Village Bridge, Pinwheel Forest, Floccesy Ranch, Relic Passage",Route 22,Route 22,"Route 102, 111, 114, 117, 120, 123, Petalburg City","Route 102, 111, 114, 117, 120, 123, Petalburg City",Evolve Marill/Azurill,Evolve Marill/Azurill,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Evolve Marill/Azurill,Evolve Marill/Azurill,Evolve Marill/Azurill,Evolve Marill/Azurill,Not available in this game,"Casseroya Lake, West Province (Area Two), West Province (Area Three)","Casseroya Lake, West Province (Area Two), West Province (Area Three)"
Sudowoodo,Rock,None,,,,Route 36,Route 36,Route 36,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Bonsly,"Route 214, 221",Route 221,Route 36,Route 36,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 20,Route 20,Trade/migrate from another game,Trade/migrate from another game,"Route 1, Lush Jungle","Route 1, Lush Jungle",Lush Jungle,Lush Jungle,Not available in this game,Not available in this game,"Bridge Field, Dusty Bowl, Hammerlocke Hills, Motostoke Outskirts, Motostoke Riverbank","Bridge Field, Dusty Bowl, Hammerlocke Hills, Motostoke Outskirts, Motostoke Riverbank",Trade/migrate from another game,"Route 214, 221","Celestica Ruins, Cloudpool Ridge","Casseroya Lake, West Province (Area Three)","Casseroya Lake, West Province (Area Three)"
Politoed,Water,None,,,,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Trade/migrate from another game,Trade/migrate from another game,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Trade/migrate from another game,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Route 6,Route 6,"Route 6, 19, 20, Lostlorn Forest, Victory Road, Floccesy Ranch","Route 6, 19, 20, Lostlorn Forest, Victory Road, Floccesy Ranch",Route 19,Route 19,Trade/migrate from another game,Trade/migrate from another game,Malie Garden,Malie Garden,Malie Garden,Malie Garden,Not available in this game,Not available in this game,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Evolve Poliwag/Poliwhirl,Not available in this game,Not available in this game,Not available in this game
Hoppip,Grass,Flying,,,,"Route 13, 14, 15, 32, 33","Route 13, 14, 15, 32, 33","Route 11, 13, 14, 15, 29, 30, 31, 32, 33",Trade/migrate from another game,Trade/migrate from another game,"Five Island, Five Isle Meadow, Memorial Pillar, Resort Gorgeous, Water Labyrinth","Five Island, Five Isle Meadow, Memorial Pillar, Resort Gorgeous, Water Labyrinth",Trade/migrate from another game,Route 205,"Route 205, Fuego Ironworks",Route 205,"Route 13, 14, 15, 32, 33, 48","Route 13, 14, 15, 32, 33, 48",Trade/migrate from another game,White Forest,Trade/migrate from another game,Trade/migrate from another game,Route 7,Route 7,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 205, Grassland Cave, Sunlit Cavern","Route 205, Fuego Ironworks, Grassland Cave, Sunlit Cavern",Not available in this game,"Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Three), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Two), West Province (Area Three), Glaseado Mountain, East Paldean Sea, The Pokémon League","Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Three), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Two), West Province (Area Three), Glaseado Mountain, East Paldean Sea, The Pokémon League"
Skiploom,Grass,Flying,,,,Route 14,Route 14,Route 14,Trade/migrate from another game,Trade/migrate from another game,Evolve Hoppip,Evolve Hoppip,Trade/migrate from another game,Route 205,Fuego Ironworks,Evolve Hoppip,Route 14,Route 14,Trade/migrate from another game,Evolve Hoppip,Trade/migrate from another game,Trade/migrate from another game,Evolve Hoppip,Evolve Hoppip,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 205, Grassland Cave, Sunlit Cavern","Fuego Ironworks, Grassland Cave, Sunlit Cavern",Not available in this game,"East Province (Area One), East Province (Area Two), South Province (Area Five)","East Province (Area One), East Province (Area Two), South Province (Area Five)"
Jumpluff,Grass,Flying,,,,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Trade/migrate from another game,Trade/migrate from another game,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Trade/migrate from another game,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Trade/migrate from another game,Evolve Hoppip/Skiploom,Trade/migrate from another game,Trade/migrate from another game,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Evolve Hoppip/Skiploom,Evolve Hoppip/Skiploom,Not available in this game,"Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Three), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Two), West Province (Area Three), The Great Crater of Paldea, Glaseado Mountain, East Paldean Sea, The Pokémon League","Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), East Province (Area One), East Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Three), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Two), West Province (Area Three), The Great Crater of Paldea, Glaseado Mountain, East Paldean Sea, The Pokémon League"
Aipom,Normal,None,,,,"Route 29, 30, 31, 32, 33, 42, 43, 44, 45, 46","Route 29, 30, 31, 32, 33, 42, 43, 44, 45, 46","Route 33, 42, 44, Azalea Town",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Altering Cave, Safari Zone","Route 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks","Route 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks","Route 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 218, 221, 222, Eterna Forest, Floaroma Meadow, Fuego Ironworks, Valley Windworks","Route 28, 33, 42, 44, 45, 46, Azalea Town, Mt. Silver","Route 28, 42, 44, 45, 46, Azalea Town, Mt. Silver",Trade/migrate from another game,Trade/migrate from another game,Breed Ambipom,Breed Ambipom,Trade/migrate from another game,Trade/migrate from another game,"Route 118, 121","Route 118, 121",Trade/migrate from another game,Trade/migrate from another game,Poni Plains,Poni Plains,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Spacious Cave,Spacious Cave,"Aipom Hill, Glacier Terrace, Heart's Crag, Hideaway Bay, Ramanas Island, Snowfall Hot Spring, Whiteout Valley",Not available in this game,Not available in this game
Sunkern,Grass,None,,,,"Route 24, National Park","Route 24, National Park","Route 24, National Park",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Safari Zone,Route 204,Route 204,Route 204,"Route 24, National Park","Route 24, National Park",Route 12,Route 12,Route 20,Route 20,Trade/migrate from another game,Trade/migrate from another game,Mirage Spots,Mirage Spots,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 204, Grassland Cave, Sunlit Cavern","Route 204, Grassland Cave, Sunlit Cavern",Not available in this game,"Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain, East Paldean Sea, The Pokémon League","Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain, East Paldean Sea, The Pokémon League"
Sunflora,Grass,None,,,,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Evolve Sunkern,Route 12,Route 12,Evolve Sunkern,Evolve Sunkern,Trade/migrate from another game,Trade/migrate from another game,Evolve Sunkern,Evolve Sunkern,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Evolve Sunkern,Evolve Sunkern,Not available in this game,"Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain, East Paldean Sea, The Pokémon League","Tagtree Thicket, Asado Desert, North Province (Area One), North Province (Area Two), North Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), Glaseado Mountain, East Paldean Sea, The Pokémon League"
Yanma,Bug,Flying,,,,Route 35,Route 35,Route 35,Trade/migrate from another game,Trade/migrate from another game,Ruin Valley,Ruin Valley,Trade/migrate from another game,Great Marsh,Great Marsh,Great Marsh,Route 35,Route 35,Route 14,Route 14,"Route 3, Pinwheel Forest","Route 3, Pinwheel Forest",Route 10,Route 10,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Breed Yanmega,Breed Yanmega,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Trade/migrate from another game,Trade/migrate from another game,"Droning Meadow, Gapejaw Bog, Heavenward Lookout, Ursa's Ring",Not available in this game,Not available in this game
Wooper,Water,Ground,,,,"Route 32, Ruins of Alph, Union Cave","Route 32, Ruins of Alph, Union Cave","Route 32, Ruins of Alph, Union Cave",Trade/migrate from another game,Trade/migrate from another game,"Four Island, Ruin Valley",Trade/migrate from another game,Safari Zone,"Route 212, Great Marsh","Route 212, Great Marsh",Great Marsh,"Route 32, Cliff Cave, Cliff Edge Gate, Ruins of Alph, Union Cave","Route 32, Cliff Cave, Cliff Edge Gate, Ruins of Alph, Union Cave",Trade/migrate from another game,White Forest,Trade/migrate from another game,Trade/migrate from another game,Breed Quagsire,Breed Quagsire,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Breed Quagsire,Breed Quagsire,Not available in this game,Not available in this game,"South Lake Miloch, West Lake Axewell, Giant's Cap, Giant's Seat, Soothing Wetlands","South Lake Miloch, West Lake Axewell, Giant's Cap, Giant's Seat, Soothing Wetlands","Route 212, Great Marsh, Fountainspring Cave, Swampy Cave, Bogsunk Cavern","Route 212, Great Marsh, Fountainspring Cave, Swampy Cave, Bogsunk Cavern",Not available in this game,"Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area Three), Glaseado Mountain","Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area Three), South Province (Area One), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area Three), Glaseado Mountain"
