"movie number""line number" "character" "dialogue"
"IV" "497" "HAN" "Well, he ain't going to be around long enough to tell anyone about us."
"IV" "498" "LUKE" "Look at him.  He's heading for that small moon."
"IV" "499" "HAN" "I think I can get him before he gets there... he's almost in range."
"IV" "500" "BEN" "That's no moon!  It's a space station."
"IV" "501" "HAN" "It's too big to be a space station."
"IV" "502" "LUKE" "I have a very bad feeling about this."
"IV" "503" "BEN" "Turn the ship around!"
"IV" "504" "HAN" "Yeah, I think your right.  Full reverse!  Chewie, lock in the auxiliary power."
"IV" "505" "LUKE" "Why are we still moving towards it?"
"IV" "506" "HAN" "We're caught in a tractor beam!  It's pulling us in!"
"IV" "507" "LUKE" "But there's gotta be something you can do!"
"IV" "508" "HAN" "There's nothin' I can do about it, kid.  I'm in full power.  I'm going to have to shut down.  But they're not going to get me without a fight!"
"IV" "509" "BEN" "You can't win.  But there are alternatives to fighting."
"IV" "510" "VOICE OVER DEATH STAR INTERCOM" "Clear Bay twenty-three-seven.  We are opening the magnetic field."
"IV" "511" "OFFICER" "To your stations!"
"IV" "512" "OFFICER" "Come with me."
"IV" "513" "OFFICER" "Close all outboard shields!  Close all outboard shields!"
"IV" "514" "TARKIN" "Yes."
"IV" "515" "VOICE" "We've captured a freighter entering the remains of the Alderaan system.  It's markings match those of a ship that blasted its way out of Mos Eisley."
"IV" "516" "VADER" "They must be trying to return the stolen plans to the princess.  She may yet be of some use to us."
"IV" "517" "VOICE" "Unlock one-five-seven and nine. Release charges."
"IV" "518" "OFFICER" "There's no one on board, sir.  According to the log, the crew abandoned ship right after takeoff.  It must be a decoy, sir.  Several of the escape pods have been jettisoned."
"IV" "519" "VADER" "Did you find any droids?"
"IV" "520" "OFFICER" "No, sir.  If there were any on board, they must also have jettisoned."
"IV" "521" "VADER" "Send a scanning crew on board.  I want every part of this ship checked."
"IV" "522" "OFFICER" "Yes, sir."
"IV" "523" "VADER" "I sense something... a presence I haven't felt since..."
"IV" "524" "OFFICER" "Get me a scanning crew in here on the double.  I want every part of this ship checked!"
"IV" "525" "LUKE" "Boy, it's lucky you had these compartments."
"IV" "526" "HAN" "I use them for smuggling.  I never thought I'd be smuggling myself in them.  This is ridiculous.  Even if I could take off, I'd never get past the tractor beam."
"IV" "527" "BEN" "Leave that to me!"
"IV" "528" "HAN" "Damn fool. I knew that you were going to say that!"
"IV" "529" "BEN" "Who's the more foolish... the fool or the fool who follows him?"
"IV" "530" "TROOPER" "The ship's all yours.  If the scanners pick up anything, report it immediately.  All right, let's go."
"IV" "531" "HAN" "Hey down there, could you give us a hand with this?"
"IV" "532" "GANTRY OFFICER" "TX-four-one-two.  Why aren't you at your post?  TX-four-one-two, do you copy? "
"IV" "533" "GANTRY OFFICER" "Take over.  We've got a bad transmitter.  I'll see what I can do."
"IV" "534" "LUKE" "You know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here."
"IV" "535" "HAN" "Bring them on!  I prefer a straight fight to all this sneaking around."
"IV" "536" "THREEPIO" "We found the computer outlet, sir."
"IV" "537" "BEN" "Plug in.  He should be able to interpret the entire Imperial computer network."
"IV" "538" "THREEPIO" "He says he's found the main control to the power beam that's holding the ship here.  He'll try to make the precise location appear on the monitor."
"IV" "539" "THREEPIO" "The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave."
"IV" "540" "BEN" "I don't think you boys can help.  I must go alone."
"IV" "541" "HAN" "Whatever you say.  I've done more than I bargained for on this trip already."
"IV" "542" "LUKE" "I want to go with you."
"IV" "543" "BEN" "Be patient, Luke.  Stay and watch over the droids."
"IV" "544" "LUKE" "But he can..."
"IV" "545" "BEN" "They must be delivered safely or other star systems will suffer the same fate as Alderaan.  Your destiny lies along a different path from mine.  The Force will be with you... always!"
"IV" "546" "HAN" "Boy you said it, Chewie."
"IV" "547" "HAN" "Where did you dig up that old fossil?"
"IV" "548" "LUKE" "Ben is a great man."
"IV" "549" "HAN" "Yeah, great at getting us into trouble."
"IV" "550" "LUKE" "I didn't hear you give any ideas..."
"IV" "551" "HAN" "Well, anything would be better than just hanging around waiting for them to pick us up..."
"IV" "552" "LUKE" "Who do you think..."
"IV" "553" "LUKE" "What is it?"
"IV" "554" "THREEPIO" "I'm afraid I'm not quite sure, sir. He says \"I found her,\" and keepsrepeating, \"She's here.\""
"IV" "555" "LUKE" "Well, who... who has he found?"
"IV" "556" "THREEPIO" "Princess Leia."
"IV" "557" "LUKE" "The princess?  She's here?"
"IV" "558" "HAN" "Princess?"
"IV" "559" "LUKE" "Where... where is she?"
"IV" "560" "HAN" "Princess?  What's going on?"
"IV" "561" "THREEPIO" "Level five. Detention block AA-twenty-three.  I'm afraid she's scheduled to be terminated."
"IV" "562" "LUKE" "Oh, no!  We've got to do something."
"IV" "563" "HAN" "What are you talking about?"
"IV" "564" "LUKE" "The droid belongs to her.  She's the one in the message.  We've got to help her."
"IV" "565" "HAN" "Now, look, don't get any funny ideas.  The old man wants us to wait right here."
"IV" "566" "LUKE" "But he didn't know she was here.  Look, will you just find a way back into the detention block?"
"IV" "567" "HAN" "I'm not going anywhere."
"IV" "568" "LUKE" "They're going to execute her.  Look, a few minutes ago you said you didn't want to just wait here to be captured.  Now all you want to do is stay. "
"IV" "569" "HAN" "Marching into the detention area is not what I had in mind."
"IV" "570" "LUKE" "But they're going to kill her!"
"IV" "571" "HAN" "Better her than me..."
"IV" "572" "LUKE" "She's rich."
"IV" "573" "HAN" "Rich?"
"IV" "574" "LUKE" "Yes.  Rich, powerful!  Listen, if you were to rescue her, the reward would be..."
"IV" "575" "HAN" "What?"
"IV" "576" "LUKE" "Well more wealth that you can imagine."
"IV" "577" "HAN" "I don't know, I can imagine quite a bit!"
"IV" "578" "LUKE" "You'll get it!"
"IV" "579" "HAN" "I better!"
"IV" "580" "LUKE" "You will..."
"IV" "581" "HAN" "All right, kid.  But you'd better be right about this!"
"IV" "582" "LUKE" "All right."
"IV" "583" "HAN" "What's your plan?"
"IV" "584" "LUKE" "Uh... Threepio, hand me those binders there will you?"
"IV" "585" "LUKE" "Okay.  Now, I'm going to put these on you."
"IV" "586" "LUKE" "Okay.  Han, you put these on."
"IV" "587" "HAN" "Don't worry, Chewie.  I think I know what he has in mind."
"IV" "588" "THREEPIO" "Master Luke, sir!  Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?"
"IV" "589" "LUKE" "Lock the door!"
"IV" "590" "HAN" "And hope they don't have blasters."
"IV" "591" "THREEPIO" "That isn't very reassuring."
"IV" "592" "LUKE" "I can't see a thing in this helmet."
"IV" "593" "HAN" "This is not going to work."
"IV" "594" "LUKE" "Why didn't you say so before?"
"IV" "595" "HAN" "I did say so before!"
"IV" "596" "OFFICER" "Where are you taking this... thing?"
"IV" "597" "LUKE" "Prisoner transfer from Block one-one-three-eight."
"IV" "598" "OFFICER" "I wasn't notified.  I'll have to clear it."
"IV" "599" "HAN" "Look out!  He's loose!"
"IV" "600" "LUKE" "He's going to pull us all apart."
"IV" "601" "HAN" "Go get him!"
"IV" "602" "HAN" "We've got to find out which cell this princess of yours is in.  Here it is... cell twenty-one-eight-seven.  You go get her.  I'll hold them here."
"IV" "603" "HAN" "Everything is under control.  Situation normal."
"IV" "604" "INTERCOM VOICE" "What happened?"
"IV" "605" "HAN" "Uh... had a slight weapons malfunction.  But, uh, everything's perfectly all right now.  We're fine.  We're all fine here, now, thank you.  How are you?"
"IV" "606" "INTERCOM VOICE" "We're sending a squad up."
"IV" "607" "HAN" "Uh, uh, negative, negative.  We had a reactor leak here now.  Give us a few minutes to lock it down.  Large leak... very dangerous."
"IV" "608" "INTERCOM VOICE" "Who is this?  What's your operating number?"
"IV" "609" "HAN" "Boring conversation anyway.Luke!  We're going to have company!"
"IV" "610" "LEIA" "Aren't you a little short for a stormtrooper?"
"IV" "611" "LUKE" "What?  Oh... the uniform.  I'm Luke Skywalker.  I'm here to rescue you. "
"IV" "612" "LEIA" "You're who?"
"IV" "613" "LUKE" "I'm here to rescue you.  I've got your R2 unit.  I'm here with Ben Kenobi."
"IV" "614" "LEIA" "Ben Kenobi is here!  Where is he?"
"IV" "615" "LUKE" "Come on!"
"IV" "616" "VADER" "He is here..."
"IV" "617" "TARKIN" "Obi-Wan Kenobi!  What makes you think so?"
"IV" "618" "VADER" "A tremor in the Force.  The last time I felt it was in the presence of my old master."
"IV" "619" "TARKIN" "Surely he must be dead by now."
"IV" "620" "VADER" "Don't underestimate the Force."
"IV" "621" "TARKIN" "The Jedi are extinct, their fire has gone out of the universe.  You, my friend, are all that's left of their religion."
"IV" "622" "TARKIN" "Yes."
"IV" "623" "INTERCOM VOICE" "Governor Tarkin, we have an emergency alert in detention block AA-twenty-three."
"IV" "624" "TARKIN" "The princess!  Put all sections on alert!"
"IV" "625" "VADER" "Obi-Wan is here.  The Force is with him."
"IV" "626" "TARKIN" "If you're right, he must not be allowed to escape."
"IV" "627" "VADER" "Escape may not his plan.  I must face him alone."
"IV" "628" "HAN" "Chewie!"
"IV" "629" "HAN" "Get behind me!  Get behind me!"
"IV" "630" "HAN" "Can't get out that way."
"IV" "631" "LEIA" "Looks like you managed to cut off our only escape route."
"IV" "632" "HAN" "Maybe you'd like it back in your cell, Your Highness."
"IV" "633" "LUKE" "See-Threepio!  See-Threepio!"
"IV" "634" "THREEPIO" "Yes sir?"
"IV" "635" "LUKE" "We've been cut off!  Are there any other ways out of the cell bay?...What was that?  I didn't copy!"
"IV" "636" "THREEPIO" "I said, all systems have been alerted to your presence, sir.  The main entrance seems to be the only way out; all other information on your level is restricted."
"IV" "637" "TROOPER VOICE" "Open up in there!"
"IV" "638" "THREEPIO" "Oh, no!"
"IV" "639" "LUKE" "There isn't any other way out."
"IV" "640" "HAN" "I can't hold them off forever!  Now what?"
"IV" "641" "LEIA" "This is some rescue.  When you came in here, didn't you have a plan for getting out?"
"IV" "642" "HAN" "He's the brains, sweetheart."
"IV" "643" "LUKE" "Well, I didn't..."
"IV" "644" "HAN" "What the hell are you doing?"
"IV" "645" "LEIA" "Somebody has to save our skins.  Into the garbage chute, wise guy."
"IV" "646" "HAN" "Get in there you big furry oaf!  I don't care what you smell!  Get in there and don't worry about it."
"IV" "647" "HAN" "Wonderful girl!  Either I'm going to kill her or I'm beginning to like her.  Get in there!"
"IV" "648" "HAN" "Oh!  The garbage chute was a really wonderful idea.  What an incredible smell you've discovered!  Let's get out of here!  Get away from there..."
"IV" "649" "LUKE" "No!  wait!"
"IV" "650" "LUKE" "Will you forget it?  I already tried it.  It's magnetically sealed!"
"IV" "651" "LEIA" "Put that thing away!  You're going to get us all killed."
"IV" "652" "HAN" "Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, it's not going to take them long to figure out what happened to us."
"IV" "653" "LEIA" "It could be worse..."
"IV" "654" "HAN" "It's worse."
"IV" "655" "LUKE" "There's something alive in here!"
"IV" "656" "HAN" "That's your imagination."
"IV" "657" "LUKE" "Something just moves past my leg!  Look!  Did you see that?"
"IV" "658" "HAN" "What?"
"IV" "659" "LUKE" "Help!"
"IV" "660" "HAN" "Luke!  Luke!  Luke!"
"IV" "661" "LEIA" "Luke!"
"IV" "662" "LEIA" "Luke, Luke, grab a hold of this."
"IV" "663" "LUKE" "Blast it, will you!  My gun's jammed."
"IV" "664" "HAN" "Where?"
"IV" "665" "LUKE" "Anywhere!  Oh!!"
"IV" "666" "HAN" "Luke!  Luke!"
"IV" "667" "LEIA" "Grab him!"
"IV" "668" "LEIA" "What happened?"
"IV" "669" "LUKE" "I don't know, it just let go of me and disappeared..."
"IV" "670" "HAN" "I've got a very bad feeling about this."
"IV" "671" "LUKE" "The walls are moving!"
"IV" "672" "LEIA" "Don't just stand there.  Try and brace it with something."
"IV" "673" "LUKE" "Wait a minute!"
"IV" "674" "LUKE" "Threepio!  Come in Threepio!  Threepio!  Where could he be?"
"IV" "675" "FIRST TROOPER" "Take over!See to him!  Look there!"
"IV" "676" "THREEPIO" "They're madmen!  They're heading for the prison level.  If you hurry, you might catch them."
"IV" "677" "FIRST OFFICER" "Follow me!  You stand guard."
"IV" "678" "THREEPIO" "Come on!"
"IV" "679" "THREEPIO" "Oh!  All this excitement has overrun the circuits of my counterpart here.  If you don't mind, I'd like to take him down to maintenance."
"IV" "680" "TROOPER" "All right."
"IV" "681" "LUKE" "Threepio!  Come in, Threepio!  Threepio!"
"IV" "682" "HAN" "Get to the top!"
"IV" "683" "LEIA" "I can't "
"IV" "684" "LUKE" "Where could he be?  Threepio!  Threepio, will you come in?"
"IV" "685" "THREEPIO" "They aren't here!  Something must have happened to them.  See if they've been captured."
"IV" "686" "THREEPIO" "Hurry!"
"IV" "687" "HAN" "One thing's for sure.  We're all going to be a lot thinner!Get on top of it!"
"IV" "688" "LEIA" "I'm trying!"
"IV" "689" "THREEPIO" "Thank goodness, they haven't found them!  Where could they be?"
"IV" "690" "THREEPIO" "Use the comlink?  Oh, my!  I forgot I turned it off!"
"IV" "691" "THREEPIO" "Are you there, sir?"
"IV" "692" "LUKE" "Threepio!"
"IV" "693" "THREEPIO" "We've had some problems..."
"IV" "694" "LUKE" "Shut down all the garbage mashers on the detention level, will you?  Do you copy?"
"IV" "695" "LUKE" "Shut down all the garbage mashers on the detention level."
"IV" "696" "LUKE" "Shut down all the garbage mashers on the detention level."
"IV" "697" "THREEPIO" "No.  Shut them all down!  Hurry!"
"IV" "698" "THREEPIO" "Listen to them!  They're dying, Artoo!  Curse my metal body!  I wasn't fast enough.  It's all my fault!  My poor master!"
"IV" "699" "LUKE" "Threepio, we're all right!"
"IV" "700" "LUKE" "We're all right.  You did great."
"IV" "701" "LUKE" "Hey... hey, open the pressure maintenance hatch on unit number... where are we?"
"IV" "702" "HAN" "Three-two-six-eight-two-seven."
"IV" "703" "HAN" "If we can just avoid any more female advice, we ought to be able to get out of here."
"IV" "704" "LUKE" "Well, let's get moving!"
"IV" "705" "HAN" "Where are you going?"
"IV" "706" "LEIA" "No, wait.  They'll hear!"
"IV" "707" "HAN" "Come here, you big coward!"
"IV" "708" "HAN" "Chewie!  Come here!"
"IV" "709" "LEIA" "Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you.  Okay?"
"IV" "710" "HAN" "Look, Your Worshipfulness, let's get one thing straight!  I takeorders from one person!  Me!"
"IV" "711" "LEIA" "It's a wonder you're still alive.Will somebody get this big walking carpet out of my way?"
"IV" "712" "HAN" "No reward is worth this."
"IV" "713" "OFFICER" "Secure this area until the alert is canceled."
"IV" "714" "FIRST TROOPER" "Give me regular reports."
"IV" "715" "FIRST TROOPER" "Do you know what's going on?"
"IV" "716" "SECOND TROOPER" "Maybe it's another drill."
"IV" "717" "SECOND TROOPER" "What was that?"
"IV" "718" "FIRST TROOPER" "Oh, it's nothing.  Don't worry about it."
"IV" "719" "HAN" "There she is."
"IV" "720" "LUKE" "See-Threepio, do you copy?"
"IV" "721" "THREEPIO" "For the moment.  Uh, we're in the main hangar across from the ship."
"IV" "722" "LUKE" "We're right above you.  Stand by."
"IV" "723" "LEIA" "You came in that thing?  You're braver that I thought."
"IV" "724" "HAN" "Nice!  Come on!"
"IV" "725" "FIRST TROOPER" "It's them!  Blast them!"
"IV" "726" "HAN" "Get back to the ship!"
"IV" "727" "LUKE" "Where are you going?  Come back!"
"IV" "728" "LEIA" "He certainly has courage."
"IV" "729" "LUKE" "What good will it do us if he gets himself killed?  Come on!"
"IV" "730" "LUKE" "I think we took a wrong turn."
"IV" "731" "LEIA" "There's no lock!"
"IV" "732" "LUKE" "That oughta hold it for a while."
"IV" "733" "LEIA" "Quick, we've got to get across.  Find the control that extends the bridge."
"IV" "734" "LUKE" "Oh, I think I just blasted it."
"IV" "735" "LEIA" "They're coming through!"
"IV" "736" "LUKE" "Here, hold this."
"IV" "737" "LEIA" "Here they come!"
"IV" "738" "LEIA" "For luck!"
"IV" "739" "THREEPIO" "Where could they be?"
"IV" "740" "TROOPER" "Close the blast doors!"
"IV" "741" "TROOPER" "Open the blast doors!  Open the blast doors!"
"IV" "742" "VADER" "I've been waiting for you, Obi-Wan.  We meet again, at last.  The circle is now complete."
"IV" "743" "VADER" "When I left you, I was but the learner; now I am the master."
"IV" "744" "BEN" "Only a master of evil, Darth."
"IV" "745" "VADER" "Your powers are weak, old man."
"IV" "746" "BEN" "You can't win, Darth.  If you strike me down, I shall become more powerful than you can possibly imagine."
"IV" "747" "HAN" "Didn't we just leave this party?"
"IV" "748" "HAN" "What kept you?"
"IV" "749" "LEIA" "We ran into some old friends."
"IV" "750" "LUKE" "Is the ship all right?"
"IV" "751" "HAN" "Seems okay, if we can get to it.Just hope the old man got the tractor beam out of commission."
"IV" "752" "LUKE" "Look!"
"IV" "753" "THREEPIO" "Come on, Artoo, we're going!"
"IV" "754" "HAN" "Now's our chance!  Go!"
"IV" "755" "LUKE" "No!"
"IV" "756" "HAN" "Come on!"
"IV" "757" "LEIA" "Come on!  Luke, its too late!"
"IV" "758" "HAN" "Blast the door!  Kid!"
"IV" "759" "BEN" "Run, Luke!  Run!"
"IV" "760" "HAN" "I hope the old man got that tractor beam out if commission, or this is going to be a real short trip.  Okay, hit it!"
"IV" "761" "HAN" "We're coming up on the sentry ships.  Hold 'em off!  Angle the deflector shields while I charge up the main guns!"
"IV" "762" "LUKE" "I can't believe he's gone."
"IV" "763" "LEIA" "There wasn't anything you could have done."
"IV" "764" "HAN" "Come on, buddy, we're not out of this yet!"
"IV" "765" "HAN" "You in, kid?  Okay, stay sharp!"
"IV" "766" "LEIA" "Here they come!"
"IV" "767" "LUKE" "They're coming in too fast!"
"IV" "768" "THREEPIO" "Oooh!"
"IV" "769" "LEIA" "We've lost lateral controls."
"IV" "770" "HAN" "Don't worry, she'll hold together."
"IV" "771" "HAN" "You hear me, baby?  Hold together!"
"IV" "772" "LUKE" "Got him!  I got him!"
"IV" "773" "HAN" "Great kid!  Don't get cocky."
"IV" "774" "LEIA" "There are still two more of them out there!"
"IV" "775" "LUKE" "That's it!  We did it!"
"IV" "776" "LEIA" "We did it!"
"IV" "777" "THREEPIO" "Help!  I think I'm melting!This is all your fault."
"IV" "778" "TARKIN" "Are they away?"
"IV" "779" "VADER" "They have just made the jump into hyperspace."
"IV" "780" "TARKIN" "You're sure the homing beacon is secure aboard their ship?  I'm taking an awful risk, Vader.  This had better work."
"IV" "781" "HAN" "Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself."
"IV" "782" "LEIA" "That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape."
"IV" "783" "HAN" "Easy... you call that easy?"
"IV" "784" "LEIA" "Their tracking us!"
"IV" "785" "HAN" "Not this ship, sister."
"IV" "786" "LEIA" "At least the information in Artoo is still intact."
"IV" "787" "HAN" "What's so important?  What's he carrying?"
"IV" "788" "LEIA" "The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!"
"IV" "789" "HAN" "It is for me, sister!  Look, I ain't in this for your revolution, and I'm not in it for you, Princess.  I expect to be well paid.  I'm in it for the money!"
"IV" "790" "LEIA" "You needn't worry about your reward.  If money is all that you love, then that's what you'll receive!"
"IV" "791" "LEIA" "Your friend is quite a mercenary.  I wonder if he really cares about anything... or anyone."
"IV" "792" "LUKE" "I care!"
"IV" "793" "LUKE" "So... what do you think of her, Han?"
"IV" "794" "HAN" "I'm trying not to, kid!"
"IV" "795" "LUKE" "Good..."
"IV" "796" "HAN" "Still, she's got a lot of spirit.  I don't know, what do you think?  Do you think a princess and a guy like me..."
"IV" "797" "LUKE" "No!"
"IV" "798" "WILLARD" "You're safe!  We had feared the worst."
"IV" "799" "WILLARD" "When we heard about Alderaan, we were afraid that you were... lost along with your father."
"IV" "800" "LEIA" "We don't have time for our sorrows, commander.  The battle station has surely tracked us here.It's the only explanation for the ease of our escape.  You must use the information in this R2 unit to plan the attack.  It is our only hope."
"IV" "801" "TARKIN" "Yes."
"IV" "802" "DEATH STAR INTERCOM VOICE" "We are approaching the planet Yavin.  The Rebel base is on a moon on the far side.  We are preparing to orbit the planet."
"IV" "803" "DODONNA" "The battle station is heavily shielded and carries a firepower greater than half the star fleet.Its defenses are designed around a direct large-scale assault.  A small one-man fighter should be able to penetrate the outer defense."
"IV" "804" "GOLD LEADER" "Pardon me for asking, sir, but what good are snub fighters going to be against that?"
"IV" "805" "DODONNA" "Well, the Empire doesn't consider a small one-man fighter to be any threat, or they'd have a tighter defense.  An analysis of the plans provided by Princess Leia has demonstrated a weakness in the battle station."
"IV" "806" "DODONNA" "The approach will not be easy.  You are required to maneuver straight down this trench and skim the surface to this point.  The target area is only two meters wide.  It's a small thermal exhaust port, right below the main port.  The shaft leads directly to the reactor system.  A precise hit will start a chain reaction which should destroy the station."
"IV" "807" "DODONNA" "Only a precise hit will set up a chain reaction.  The shaft is ray-shielded, so you'll have to use proton torpedoes."
"IV" "808" "WEDGE" "That's impossible, even for a computer."
"IV" "809" "LUKE" "It's not impossible.  I used to bullseye womp rats in my T-sixteen back home.  They're not much bigger than two meters."
"IV" "810" "DODONNA" "Man your ships!  And may the Force be with you!"
"IV" "811" "DEATH STAR INTERCOM VOICE" "Orbiting the planet at maximum velocity.  The moon with the Rebel base will be in range in thirty minutes."
"IV" "812" "VADER" "This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion."
"IV" "813" "MAN" "All flight troops, man your stations.  All flight troops, man your stations."
"IV" "814" "LUKE" "So... you got your reward and you're just leaving then?"
"IV" "815" "HAN" "That's right, yeah!  I got some old debts I've got to pay off with this stuff.  Even if I didn't, you don't think I'd be fool enough to stick around here, do you?  Why don't you come with us?  You're pretty good in a fight.  I could use you."
"IV" "816" "LUKE" "Come on!  Why don't you take a look around?  You know what's about to happen, what they're up against.  They could use a good pilot like you.  You're turning your back on them."
"IV" "817" "HAN" "What good's a reward if you ain't around to use it?  Besides, attacking that battle station ain'tmy idea of courage.  It's more like suicide."
"IV" "818" "LUKE" "All right.  Well, take care of yourself, Han... guess that's what you're best at, isn't it?"
"IV" "819" "HAN" "Hey, Luke... may the Force be with you!"
"IV" "820" "HAN" "What're you lookin' at?  I know what I'm doing."
"IV" "821" "LEIA" "What's wrong?"
"IV" "822" "LUKE" "Oh, it's Han!  I don't know, I really thought he'd change his mind. "
"IV" "823" "LEIA" "He's got to follow his own path.  No one can choose it for him."
"IV" "824" "LUKE" "I only wish Ben were here."
"IV" "825" "BIGGS" "Luke!  I don't believe it!  How'd you get here... are you going out with us?!"
"IV" "826" "LUKE" "Biggs!  Of course, I'll be up there with you!  Listen, have I got some stories to tell..."
"IV" "827" "RED LEADER" "Are you... Luke Skywalker?  Have you been checked out on the Incom T-sixty-five?"
"IV" "828" "BIGGS" "Sir, Luke is the best bushpilot in the outer rim territories."
"IV" "829" "RED LEADER" "I met your father once when I was just a boy.  He was a great pilot.  You'll do all right.  If you've got half of your father's skill, you'll do better than all right."
"IV" "830" "LUKE" "Thank you, sir.  I'll try."
"IV" "831" "BIGGS" "I've got to get aboard.  Listen, you'll tell me your stories when we come back.  All right?"
"IV" "832" "LUKE" "I told you I'd make it someday, Biggs."
"IV" "833" "BIGGS" "You did, all right.  It's going to be like old times Luke. We're a couple of shooting stars that'll never be stopped!"
"IV" "834" "CHIEF" "This R2 unit of your seems a bit beat up.  Do you want a new one?"
"IV" "835" "LUKE" "Not on your life!  That little droid and I have been through a lot together.You okay, Artoo?"
"IV" "836" "CHIEF" "Okay, easy she goes!"
"IV" "837" "THREEPIO" "Hang on tight, Artoo, you've got to come back."
"IV" "838" "THREEPIO" "You wouldn't want my life to get boring, would you?"
"IV" "839" "BEN" "Luke, the Force will be with you."
"IV" "840" "MASSASSI INTERCOM VOICE" "Stand-by alert.  Death Star approaching.  Estimated time to firing range, fifteen minutes."
"IV" "841" "RED LEADER" "All wings report in."
"IV" "842" "RED TEN" "Red Ten standing by."
"IV" "843" "RED SEVEN" "Red Seven standing by."
"IV" "844" "BIGGS" "Red Three standing by."
"IV" "845" "PORKINS" "Red Six standing by."
"IV" "846" "RED NINE" "Red Nine standing by."
"IV" "847" "WEDGE" "Red Two standing by."
"IV" "848" "RED ELEVEN" "Red Eleven standing by."
"IV" "849" "LUKE" "Red Five standing by."
"IV" "850" "RED LEADER" "Lock S-foils in attack position."
"IV" "851" "RED LEADER" "We're passing through their magnetic field."
"IV" "852" "RED LEADER" "Hold tight!"
"IV" "853" "RED LEADER" "Switch your deflectors on."
"IV" "854" "RED LEADER" "Double front!"
"IV" "855" "WEDGE" "Look at the size of that thing!"
"IV" "856" "RED LEADER" "Cut the chatter, Red Two."
"IV" "857" "RED LEADER" "Accelerate to attack speed.  This is it, boys!"
"IV" "858" "GOLD LEADER" "Red Leader, this is Gold Leader."
"IV" "859" "RED LEADER" "I copy, Gold Leader."
"IV" "860" "GOLD LEADER" "We're starting for the target shaft now."
"IV" "861" "RED LEADER" "We're in position.  I'm going to cut across the axis and try and draw their fire."
"IV" "862" "WEDGE" "Heavy fire, boss!  Twenty-threedegrees."
"IV" "863" "RED LEADER" "I see it.  Stay low. "
"IV" "864" "LUKE" "This is Red Five!  I'm going in!"
"IV" "865" "BIGGS" "Luke, pull up!"
"IV" "866" "BIGGS" "Are you all right?"
"IV" "867" "LUKE" "I got a little cooked, but I'm okay."
"IV" "868" "ASTRO-OFFICER" "We count thirty Rebel ships, Lord Vader.  But they're so small they're evading our turbo-lasers!"
"IV" "869" "VADER" "We'll have to destroy them ship to ship.  Get the crews to their fighters."
"IV" "870" "RED LEADER" "Luke, let me know when you're going in."
"IV" "871" "LUKE" "I'm on my way in now..."
"IV" "872" "RED LEADER" "Watch yourself!  There's a lot of fire coming from the right side of that deflection tower."
"IV" "873" "LUKE" "I'm on it."
"IV" "874" "CONTROL OFFICER" "Squad leaders, we've picked up a new group of signals.  Enemy fighters coming your way."
"IV" "875" "LUKE" "My scope's negative.  I don't see anything."
"IV" "876" "RED LEADER" "Keep up your visual scanning.  With all this jamming, they'll be on top of you before your scope can pick them up."
"IV" "877" "RED LEADER" "Biggs!  You've picked one up... watch it!"
"IV" "878" "BIGGS" "I can't see it!  Where is he?!"
"IV" "879" "BIGGS" "He's on me tight, I can't shake him... I can't shake him."
"IV" "880" "LUKE" "Hang on, Biggs, I'm coming in."
"IV" "881" "LUKE" "Got him!"
"IV" "882" "VADER" "Several fighters have broken off from the main group.  Come with me!"
"IV" "883" "BIGGS" "Pull in!  Luke... pull in!"
"IV" "884" "WEDGE" "Watch your back, Luke!"
"IV" "885" "WEDGE" "Watch your back!  Fighter's above you, coming in!"
"IV" "886" "LUKE" "I'm hit, but not bad."
"IV" "887" "LUKE" "Artoo, see what you can do with it.  Hang on back there."
"IV" "888" "RED LEADER" "Red Six..."
"IV" "889" "RED LEADER" "Can you see Red Five?"
"IV" "890" "RED TEN" "There's a heavy fire zone on this side. Red Five, where are you?"
"IV" "891" "LUKE" "I can't shake him!"
"IV" "892" "WEDGE" "I'm on him, Luke!"
"IV" "893" "WEDGE" "Hold on!"
"IV" "894" "LUKE" "Blast it!  Wedge where are you?"
"IV" "895" "LUKE" "Thanks, Wedge."
"IV" "896" "BIGGS" "Good shooting, Wedge!"
"IV" "897" "GOLD LEADER" "Red Leader..."
"IV" "898" "GOLD LEADER" "... This is Gold Leader.  We're starting out attack run."
"IV" "899" "RED LEADER" "I copy, Gold Leader.  Move into position."
"IV" "900" "VADER" "Stay in attack formation!"
"IV" "901" "GOLD LEADER" "The exhaust post is..."
"IV" "902" "GOLD LEADER" "... marked and locked in!"
"IV" "903" "GOLD LEADER" "Switch power to front deflection screens."
"IV" "904" "GOLD LEADER" "How many guns do you think, Gold Five?"
"IV" "905" "GOLD FIVE" "I'd say about twenty guns.  Some on the surface, some on the towers."
